DESCRIÇÃO;QUANT;UN
PROJETO "AS BUILT" ARQUITETURA;7765;m²
PLACA DE OBRA-PINTADA/FIXADA ESTRUTURA DE MADEIRA;6;un
INSTALACAO PROVISORIA UNIDADE SANITARIA - 5,0M2;2;un
REGULARIZACAO E COMPACTACAO DE SUBLEITO ATÉ 20 CM DE ESPESSURA;4929,51;m²
FIO ISOLADO 6,0MM2 (8AWG);6905;M
CABO ISOL.XLPE - 0,6/1KV 2,5MM2;CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023;91927
CABO DE COBRE FLEXÍVEL ISOLADO, 10 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_12/2015;2561;M
TELA ARAME GALVANIZADO FIO 12 BWG (2,77mm) DN 1 1/4" (4x4)cm;3454;m²
ABRACADEIRA GALVANIZADA ELETROLITICA CUNHA 3/4";1521;UN 
ELETRODUTO PVC RIGIDO ROSCAVEL 3/4" (19MM);2282,26;M
PINTURA ACRILICA SOBRE REBOCO - 2 DEMAOS;1420;m²
CABO DE COBRE NU 35MM2 - FORNECIMENTO E INSTALACAO;1315;M
TUBO PVC RIGIDO SOLDAVEL 110MM;32,83;m
CAIXA SIFONADA, PVC, DN 100 X 100 X 50 MM, FORNECIDA E INSTALADA EM RAMAIS DE ENCAMINHAMENTO DE ÁGUA PLUVIAL. AF_12/2014;4;un
JOELHO 45 PVC RÍGIDO SOLDÁVEL 50MM;24;un
JOELHO 90 PVC RIGIDO SOLDAVEL 50MM;25;un
JUNÇÃO SIMPLES PVC 75x50 mm ESGOTO;4;un
TÊ, PVC, SOLDÁVEL, DN 50 MM INSTALADO EM RESERVAÇÃO DE ÁGUA DE EDIFICAÇÃO QUE POSSUA RESERVATÓRIO DE FIBRA/FIBROCIMENTO FORNECIMENTO E INSTALAÇÃO. AF_06/2016;3;un
TÊ DE REDUÇÃO, PVC, SOLDÁVEL, DN 50 MM X 40 MM, INSTALADO EM RESERVAÇÃO DE ÁGUA DE EDIFICAÇÃO QUE POSSUA RESERVATÓRIO DE FIBRA/FIBROCIMENTO FORNECIMENTO E INSTALAÇÃO. AF_06/2016;6;un
